No.,Time,Source,Destination,Protocol,Length,Info
13625,466.824056,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 TXT HP Color LaserJet MFP M283fdw (65186F)._uscan._tcp.local, ""QM"" question"
13626,466.824245,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,95,"Standard query 0x0000 PTR _ipp._tcp.local, ""QU"" question"
13627,466.825065,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,116,"Standard query 0x0000 SRV EPSON L8160 Series._uscan._tcp.local, ""QM"" question"
13628,466.825239,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,95,"Standard query 0x0000 PTR _ipp._tcp.local, ""QU"" question"
13629,466.825717,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 SRV HP Color LaserJet MFP M283fdw (65186F)._uscan._tcp.local, ""QM"" question"
13630,466.835826,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,96,"Standard query 0x0000 PTR _ipps._tcp.local, ""QU"" question"
13631,466.83651,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,137,"Standard query 0x0000 SRV HP Color LaserJet MFP M283fdw (65186F)._uscans._tcp.local, ""QM"" question"
13632,466.837433,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,114,"Standard query 0x0000 SRV EPSON L8160 Series._ipp._tcp.local, ""QM"" question"
13633,466.837616,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,134,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdn (B13C73)._ipp._tcp.local, ""QM"" question"
13634,466.838433,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,129,"Standard query 0x0000 SRV HP Color LaserJet M255dw (F9CAF8)._ipp._tcp.local, ""QM"" question"
13635,466.839072,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,134,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdn (B13C75)._ipp._tcp.local, ""QM"" question"
13636,466.839589,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,134,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdn (B15C18)._ipp._tcp.local, ""QM"" question"
13637,466.84027,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,128,"Standard query 0x0000 SRV HP LaserJet MFP M227fdw (39B521)._ipp._tcp.local, ""QM"" question"
13638,466.851828,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,129,"Standard query 0x0000 SRV HP Color LaserJet M255dw (F9CAF8)._ipp._tcp.local, ""QM"" question"
13639,466.85197,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,132,"Standard query 0x0000 SRV HP PageWide Pro 477dw MFP [F35334]._uscan._tcp.local, ""QM"" question"
13640,466.852825,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,134,"Standard query 0x0000 SRV HP Color LaserJet MFP M281fdn (B13C75)._ipp._tcp.local, ""QM"" question"
13641,466.853344,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 TXT HP Color LaserJet MFP M477fdw (3E7C1D)._uscan._tcp.local, ""QM"" question"
13642,466.853872,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,134,"Standard query 0x0000 SRV HP Color LaserJet MFP M477fdw (3E7C0C)._ipp._tcp.local, ""QM"" question"
13643,466.854393,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,130,"Standard query 0x0000 SRV HP PageWide Pro 477dw MFP [F35334]._ipp._tcp.local, ""QM"" question"
13644,466.854487,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,137,"Standard query 0x0000 SRV HP Color LaserJet MFP M283fdw (65186F)._uscans._tcp.local, ""QM"" question"
13645,466.855587,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 SRV HP Color LaserJet MFP M477fdw (3E7C0C)._uscan._tcp.local, ""QM"" question"
13646,466.855679,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,108,"Standard query 0x0000 SRV \354\203\210\355\236\230\352\264\200101._ipp._tcp.local, ""QM"" question"
13647,466.86201,ASUSTekCOMPU_c5:d1:91,Broadcast,ARP,60,Who has 203.153.147.78? Tell 203.153.147.19
13648,466.867916,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,127,"Standard query 0x0000 SRV HP LaserJet Pro M501dn (8E6B82)._ipp._tcp.local, ""QM"" question"
13649,466.868522,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,110,"Standard query 0x0000 TXT \354\203\210\355\236\230\352\264\200101._uscan._tcp.local, ""QM"" question"
13650,466.86918,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,132,"Standard query 0x0000 SRV HP PageWide Pro 477dw MFP [F35334]._uscan._tcp.local, ""QM"" question"
13651,466.869826,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,110,"Standard query 0x0000 SRV \354\203\210\355\236\230\352\264\200101._uscan._tcp.local, ""QM"" question"
13652,466.870348,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 SRV HP Color LaserJet MFP M283fdw (65186F)._uscan._tcp.local, ""QM"" question"
13653,466.871002,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 SRV HP Color LaserJet MFP M283fdw (65186F)._uscan._tcp.local, ""QM"" question"
13654,466.871422,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,110,"Standard query 0x0000 SRV \354\203\210\355\236\230\352\264\200101._uscan._tcp.local, ""QM"" question"
13655,466.872006,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,115,"Standard query 0x0000 SRV EPSON L8160 Series._ipps._tcp.local, ""QM"" question"
13656,466.883744,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,116,"Standard query 0x0000 SRV EPSON L8160 Series._uscan._tcp.local, ""QM"" question"
13657,466.884391,fe80::2984:9987:c6bd:d0f4,ff02::fb,MDNS,136,"Standard query 0x0000 TXT HP Color LaserJet MFP M477fdw (3E7C0C)._uscan._tcp.local, ""QM"" question"
